week_of_year,pull_date,sport_title,super_bowl_year,super_bowl_date,bookmaker_last_update,bookmaker,outcomes_name,outcomes_price
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Kansas City Chiefs,500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,San Francisco 49ers,600
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Baltimore Ravens,1000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Detroit Lions,1200
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Cincinnati Bengals,1300
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Philadelphia Eagles,1500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Buffalo Bills,1500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Houston Texans,1600
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Green Bay Packers,1900
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Dallas Cowboys,1900
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,New York Jets,2000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Miami Dolphins,2200
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Los Angeles Rams,3000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Atlanta Falcons,3000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Chicago Bears,3500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Cleveland Browns,4000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Los Angeles Chargers,4500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Pittsburgh Steelers,5000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Jacksonville Jaguars,5000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Seattle Seahawks,6500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Indianapolis Colts,6500
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Tampa Bay Buccaneers,8000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Minnesota Vikings,8000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Arizona Cardinals,10000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,New Orleans Saints,10000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Las Vegas Raiders,10000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Washington Commanders,12000
33,2024-08-14,NFL Super Bowl Winner,2024,2025-02-09T23:31:24Z,2024-08-14T17:12:59Z,DraftKings,Tennessee Titans,15000
